generator,core number,packet size,throughput,packet per seconds
RUN,8,64,42.737335296,83471424
RUN,8,128,53.05925632,51815680
RUN,8,128,53.044123648,51800896
RUN,8,128,53.049010176,51805626
RUN,8,128,53.038825472,51795712
RUN,8,128,53.029336064,51786531
RUN,8,128,53.049772032,51806336
RUN,8,128,53.0514944,51808128
RUN,8,128,53.05074688,51807424
RUN,8,128,53.053121536,51809629
RUN,8,256,52.084498432,25431848
RUN,8,256,52.084467712,25431872
RUN,8,256,52.073588736,25426536
RUN,8,256,52.067971072,25423832
RUN,8,256,52.061904896,25420888
RUN,8,256,52.082182144,25430696
RUN,8,256,52.078639104,25429080
RUN,8,256,52.090109952,25434624
RUN,8,256,52.089915392,25434472
RUN,8,512,95.001509888,23193728
RUN,8,512,95.057608704,23207424
RUN,8,512,95.054462976,23206656
RUN,8,512,95.036637184,23202304
RUN,8,512,95.024840704,23199424
RUN,8,512,95.040045056,23203072
RUN,8,512,95.053938688,23206592
RUN,8,512,95.047909376,23205056
RUN,8,512,95.041748992,23203520
RUN,8,512,95.037292544,23202496
RUN,14,64,66.59375104,130065920
RUN,14,64,67.275533312,131397504
RUN,14,64,66.983695872,130827520
RUN,14,64,65.914667008,128739584
RUN,14,64,65.76722688,128451584
RUN,14,64,65.78134528,128479232
RUN,14,64,65.803201536,128521856
RUN,14,64,65.720385536,128360128
RUN,14,64,65.76423936,128445824
RUN,14,64,65.776807424,128470272
RUN,14,128,82.182155264,80255733
RUN,14,128,82.931448832,80988021
RUN,14,128,82.630678528,80694004
RUN,14,128,81.167181824,79264844
RUN,14,128,81.140366336,79238615
RUN,14,128,81.206687744,79303366
RUN,14,128,81.122732032,79221440
RUN,14,128,81.1198464,79218694
RUN,14,512,95.503253504,23316224
RUN,14,512,95.559090176,23329856
RUN,14,512,95.538642944,23324864
RUN,14,512,95.394988032,23289792
RUN,14,512,95.386075136,23287552
RUN,14,512,95.473238016,23308928
RUN,14,512,95.449382912,23303104
RUN,14,512,95.420153856,23295872
RUN,14,512,95.46366976,23306624
RUN,14,512,95.47546624,23309440
