mtu,tx bps(Gbps)
128,1.44238192
128,0.70250936
128,0.697051136
128,0.697790432
128,0.67114096
128,0.671594656
128,0.70237744
128,0.702144336
128,0.671699104
128,0.701645216
128,0.70123504
128,0.702576272
128,0.702330384
128,0.67713856
128,0.697587248
128,0.70268072
128,0.70232712
128,0.701510304
128,0.702754432
128,0.672380464
128,0.700100528
128,0.702967408
128,0.701786656
128,0.672749024
128,0.701877504
128,0.70310232
128,0.702013232
128,0.702847728
128,0.702581712
128,0.68528632
128,0.687032016
128,0.701069936
128,0.701262784
128,0.700563744
128,0.700467184
128,0.701321264
128,0.700678528
128,0.701767888
128,0.698422016
128,0.697218144
