mtu,tx bps(Gbps)
1518,0
1518,0
1518,0
1518,1.622279296
1518,11.692839936
1518,11.765931008
1518,11.757079424
1518,11.739900288
1518,11.73273472
1518,11.776616704
1518,11.766580352
1518,11.7630944
1518,11.71376704
1518,11.784215168
1518,11.800391808
1518,11.764313344
1518,11.752590976
1518,11.684295936
1518,11.747168384
1518,11.747624064
1518,11.69633728
1518,11.692145024
1518,11.746951936
1518,11.789090944
1518,11.784944256
1518,11.768573952
1518,11.745915264
1518,11.772481408
1518,11.78320128
1518,11.796051456
1518,11.773187712
1518,11.775591424
1518,11.776445824
1518,11.805108096
1518,11.783394944
1518,11.77300544
1518,11.751850496
1518,11.791779456
1518,11.797862784
1518,11.78969472
